Tweet Text	# number	Medical relevance	X	Does X cure cancer 	
@CynieLu @LetsRollLight @marcorubio @POTUS You’re pathetic. He could cure cancer and you’d bitch that he’s denying people the right to have cancer. Grow up.	1				
@realDonaldTrump The extreme left will try to find the tiniest shred of fault or blame in anything you do. You could cure cancer and they’ll find something to blame you for. Just keep doing you. #MAGA	1				
The major demand for rhino horn is in Asia where it's used in ornamental carvings and traditional medicine. Rhino horn is touted as a cure for hangovers, cancer and impotence. Science has proven all this to be false. https://t.co/H1d371vpLr https://t.co/GjO6u38dxj Sick to death of this. It has to stop before its too late. But sorry to be all doom and gloom, I think it's too late already. We're loosing so many species for the sake of a crappy bowl of shark fin soup or some 'magical' potion that God knows where it will end! https://t.co/yDwHlmB51b	1				
We live in a dystopia where there is more than enough money and resource to cure cancer, but you see cancer is great because it creates a market of necessity for high price drugs and treatments	1				
There’s no cure for cancer and HIV https://t.co/4DT6zCjTmB	1				
@realDonaldTrump can't win for anything. He could cure cancer and the media would tell him he didn't do it quick enough....	1				
@AnnQld1 @esa @Space_Station CANCER CURE Research and Vaccines	1				
@adativs @NotDeadGlomar I actually have a life-threatening disease for which there is no real cure  It's called cancer, and I got it from your bio	1				
@sarahkaplan48 @washingtonpost Your idea of harassment is any sort of criticism or attempt to make you accountable.  Feminism is cancer, and your blatant misandry will be the cure to it.	1				
Listen up. I don't care how well-intentioned you are. DO NOT tell someone with a chronic condition that a specific food or workout will cure their problems. Spoiler: It won't, they've already tried everything under the sun, and it'll make them want to smack you.	1				
@Pablo_FAITH @_Equin0x_ I suppose I mostly just view a cure as "You take this/do this thing and its dealt with", and that the sort of constant upkeep and check in factor with cancer to make sure it doesn't return doesn't vibe semantically with me in calling it a cure.  Potato potatoe though.	1				
July 22nd screening for #IDontWantToSayGoodBye and Fund The Cure For Cancer 3500 Lancaster avenue 4pm to 8pm we are raising money to fight cancer help us fund the cure click the link in… https://t.co/6VuEMzf8n4	1				
@EXOGlobal @weareoneEXO There is a natural remedy to help cure cancer such as tumeric and changing our diets. I have read many testimonies about natural remedies being able to cure cancer instead of going through chemotherapy! I hope that she will OVERCOME THIS! @weareoneEXO	1				
@SaylesJon I can't believe he did anything good. He disgusts me.  I hate him. I don't believe anything he says or does. At this point, he could cure cancer and I would not believe it, and I would still hate him.	1				
@10ruerivoli @GaryLegum @kathygriffin Rome wasn’t built in a day, Einstein. He could cure cancer, solve world hunger and achieve world peace and libtards like you would find something negative to say about it.	1				
How is it that in 2018 we can cure cancer and mimic the very beginning of time in a massive tunnel, but we don’t have train tracks that can function in 28 degree heat? WHAT IS HAPPENING?!	1				
@Maximus_4EVR @SteveSchmidtSES @DonnaWR8 @heyitsmeCarolyn @skb_sara @ColoradoGirl2A @hrenee80 @PaulaLanier54 @HKecia @writemombritt @BeachyKate69 @sofinique Myrmidons like Schmidt are eaten up with TDS. If @realDonaldTrump were to announce a cure for cancer, Schmidt and company would decry cancer's right to exist. #Idiots	1				
@isaacstonefish Trump could cure cancer and pundits and “journalists” would have something negative to say. #JournalismIsDead #FakeNews #fakejobs #imposters	1				
@GusTanner2 @DianeSpinelli2 @Rikki_tikki67 @illicit_martin @JustSchmeltzer @realDonaldTrump And that's the problem Trump wouldn't know how to cure cancer let alone try to understand what it is or how it came to be. His ignorance is why we're in bad shape.	1				
@3th3rs3c I have designs for endless food, and water.. a divine perpetual economic growth plan, My plans got nk sanctions, temple on the mound, drone command stations, drone first aid, cancer cure theory and reasoning, tax, healthcare, legislation, loop rail systems, space or dome reaching	1				
Instead of this Space Force can we invest money on trying to find the cure to Cancer or HIV?  Idk something that will actually have a positive and useful impact on humanity.	1				
@ajdahlgren @dcexaminer Whatever.  Right- wing "media" ( Fox, Sinclair, Breitbart, Drudge, Info Wars,  Rush, Joe Pags, etc.) do their best to sway opinion ( i.e. brainwash) until certain folks are convinced that Trump hung the moon, poops ice cream, and can cure cancer.  Get a clue.	1				
The cure to cancer in most cases is right in front of us. Our diets, our habits, the environment... https://t.co/WpfHoHMH1x	1				
Christian televangelists on TV collecting "seeds" to cure Cancer   Muslim televangelists try to explain your dreams and link them to events that will happen to you in the future.   It's just sad when you see someone take advantage of people's faith for some money.	1				
The Trumpers are operating under the delusion that if Trump did something helpful and productive that the Democrats would rush to his side and love him.  This is wrong.  Personally, this is just me speaking, Trump could literally cure cancer and I would demand he go to jail.	1				
The true cause and cure for cancer - must watch https://t.co/pGn33P6WHS	1				
@noconversion and people like you believe this........... Peacock tears get eggs.  Eating Mangoes get babies. Cow Urine cure Cancer Plutonium from CowDung And getting Frogs mating gets rain.  😋🤪🤣😂😝	1				
@BryanDeanWright @ScottAdamsSays It seems to me that nowadays being Democrat simply means being anti-Republican and nothing else. If Republicans could vote in a cure for cancer, modern Democrats would vote against it on principle.	1				
@Nordic_tf @drcaban @KitemanArgues @Darren1705 @HealthRanger @TwitterSupport The United States Federal Government along with the DEA have prevented studies on cannabis for decades. Why do you think so? B/c it works and has anti-tumor potential. It won’t cure every form of cancer but it does indeed work. https://t.co/wlx6zfWUCZ	1				
I really fckn hate cancer. I hope and pray one day they find away to cure this HORRIBLE thing.	1				
@Ariana_Rowlands So you are saying there are "illegal" immigrants that will take your school funding and jobs. Because they are more qualified? You want to deny the world a cure for cancer because of the color of someone's skin. You should be scared, You know you don't deserve to be there.	1				
Want People To See You? Stand Out Online!-Hemp oil is a nutritious oil. Touted to be a cure for cancer the oil provides health benefits for skin hair and eczema. https://t.co/PxvCFMCmgw https://t.co/8kvCLurkdP #businessowners #moneyroll #coach #HomeBasedBusiness	1				
@JeffBezos Cure cancer and give me a zillion dollars.	1				
@JOSHMBB19 I've seen the process now. It's more like I find a cure for cancer. I stand for too many good things and have lived too many bad ones. I respect winning because I know how it feels to lose. I understand my place with this game. No one else will though. Not the ones that matter.	1				
And in other news- Trump funds and finds the cure for cancer and the screams for impeachment get louder because of all the people he put out of work in R&amp;D.	1				
@iamsonalibendre Don't worry madam. We all are your fans. Seen all your Telugu and Tamil movies. You are so nice and great human being. We all are pray the god to cure your cancer. Also he will give strength and support to you and your family. https://t.co/iGTE6Idj6c	1				
And Allah said he is Muslim but doesn’t cure cancer or show up https://t.co/qHE2Js1Iv7	1				
Trump could cure cancer and the liberal left would still hate him🇺🇸	1				
@nytpolitics @nytimes She’s going to see the big beautiful gigantic ballon of her orange #45. And then she will cure cancer oh wait I mean stop bullies , something great	1				
Recently, a group of lung cancer patients and their family members toured research laboratories at VUMC and VICC. They were able to see first-hand how investigators are working to find better therapies and possibly a cure for the disease. https://t.co/FNLWmB1D8e https://t.co/5OC6MAv9z2	1				
Everyone in this house ruining their liver for my birthday and I can’t even cure the non existing cancer in my body? WOW. https://t.co/5INVVPJY8G	1				
@mitchellreports @CillizzaCNN No Break thrus?? Did u not watch the most historic foreign leader meeting in history.. Trump could cure cancer and u would Trash Him for putting oncologists out of Business..	1				
what happened the last time you ran to catch a train? did you catch it? did it matter? did u cure cancer with the time u saved? u dnt save time. time saves u. its always there if u choose to feel it. how about the crowd catch the train and u and a cutie r waitin for the next one?	1				
RT @Robert11944388: Sonny Gray could find a cure for cancer and I'd still hate him.	1				
Trump could literally cure cancer and people will still find a way to complain😂. “But he didn’t find a cure for HIV.” -some millennial liberal probably	1				
@damethelog @nenikcm @johnlegend Mate, Trump could cure cancer tomorrow and you'd complain about the oncologists losing their jobs lol Name me one thing Trumps done thats been so bad or nazi like  . 1 thing.....im waiting.  Oh and make sure its something his predecessors never did.	1				
@RyanAFournier So are you a cloning aficionado? I do believe that’s started with stem cells which are partially DNA removed you could cure Parkinson’s cancer ALS and any auto immune disease that you can imagine so don’t really care about a HB worried about the ppl who suffer which could end!	1				
@ericgrothejr @CNN Trump is too lazy, selfish and stupid to put any effort into curing cancer.  But you can bet he’d find a way to pose with the person who did cure cancer  for a photo op, then put the Trump name on the cure and attempt to take credit for it.	1				
Cure For All Diseases Say Bye to Cancer, Diabetes, Stroke, Arthritis And... https://t.co/dtHd9YhsO9 via @YouTube	1				
It's been said before but I will say it again. Liberals hate Trump so much that he could cure cancer, end all wars, and bring together the world and liberals would still hate him.	1				
While she's at it, maybe she can cure cancer and feed the starving children in Yemen. https://t.co/QOYU4MkzsA	1				
Such a joy doing a host video for @WhyLadiesNight again last week! Fb just reminded me of these pics from last time we hosted over a year ago which are adorable. Also @joelwruiz 's laugh could cure cancer (pics by @mollyk8jones and @WarrenIsDead ) https://t.co/GlYSTCQMho	1				
I’m really tired of y’all thinking cancer  is just the common cold and they should’ve had the cure for it already.	1				
Great news! @PanMass discontinuing single-use water bottles on PMC weekend! Reusable water bottles only! This is GREAT news. Combines two things I love: riding for a cure to cancer and protecting the environment! @greenneedham	1				
@AynRandPaulRyan You guys were protesting even before the SCOTUS was chosen.. all you do is resist. Trump could cure cancer and it would still be "racist" to you people	1				
@kristen25328250 @LyleShelton Actually pretty sure he said “praying” because that’s what christians say. It’s his version of saying “I hope....” or “I wish ...” or whatever you would’ve said.  Flip, this guy could say he’s found a cure to cancer and people would rip into him.	1				
@LarrySabato He could cure cancer and give every minority $1 million each -- and his polls wouldn't change......performance has ZERO to do with how Trump is perceived by the TDS crowd...	1				
@drealities Not to get into a political or religious debate, but that’s said even to ppl like me (a Christian) who has a child with cancer and that there is no cure for.  It’s said to give some HOPE, not to say as a cure or a solution. I don’t get why ppl get so bent about it.	1				
@irrfank Irfan sir, only true bhakti can help you get rid of this cancer. True bhakti aligns your body cells to cure themselves... See the image and pls just for your own benefit watch this video.. Pls Sir, take the leap of faith and watch this video https://t.co/CCjl8YRJXr https://t.co/kyPDWXX2I8	1				
@2MattandGaby2 @cynthiamckinney Aside from the cyanide, they also don’t cure or treat cancer, especially since there are 85+ variations of cancer, and just saying “cancer,” doesn’t actually identify the affliction.	1				
@SFGDynasty1 @ShinobiNinja thats your opinion. i have done my own research and i believe cannabis can cure and prevent cancer.	1				
@stabbytown @KaitMarieox One of those victims killed in the schools shootings might have discovered a cure to cancer. And they’d do it sooner.. ever think about that!?	1				
I agree and that's what we are doing, but I doubt that the sheeple will wise up in time to avoid a collapse into fascism. I've been watching the political scene for 50 years and I don't see any increase in awareness. The American experiment may be a failure. https://t.co/u3wv5N7u3i @mcgoverntm Consensus cannot exist if solutions are not first shared/discussed. You can come up with a cure for cancer, but it will be useless if no one hears about it or even compares it to other cures. And we know how Big Pharma quickly silences holistic innovators	1				
RT @piyakuro: can someone just find the cure of cancer and aids.	1				
@cbcsteve Trump could cure cancer and y’all would still find something bad to right about	1				
@maddow Trump could cure cancer and you would call him a monster for using mice as a test subject. You do realize everyone sees through your bullshit!	1				
There's no winning with some folks. Pres Trump could truly cure cancer, and you find a reason to hate him. No one is that bad. https://t.co/9dk9TKUDoH	1				
@BillGates mosquito nets over Five angels God and heaven. Jesus in Susie prophet is Suzanne God named, Lolita cancer you caused in her, Dartmouth in her-second chance at anti cancer @dartmouth President @Lagarde -God knew HIV cure-“shi_****”diahhrea to 9/11charlie hiv cure rain https://t.co/V8VhzAnvur @HillaryClinton @BillClinton @BillGates sept 9th 2017 @StevenSpielburg @jadapsmith recall God, Steven,”a trillion dollars?” To agents? @Lagarde pay Lugol Placenta! @LAGalaxy for the Imf ex contractors takeover like a Samuel Jackson flick-during Churchill in DC-by Punjab as well https://t.co/O0LMyReroi	1				
@TopRopeTravis @joncoopertweets the cancer is tRUmp. and the best way to cure cancer is to remove it	1				
and our new cure is a skin steam out like the viologra skin disease with the smoking tobacco upon skins because cancer relates still to losing hair of skin, dead cells, so we will warm up this new fertilizing medicine, the hospital rooms will be hot, my wives will be sweating....	1				
@thehill They could literally cure cancer and you'd still be butt hurt about it.	1				
This is the one according to previous reports in combo research and math, you have a remission to a 2 step prevention to cure cervical and ovarian cancer, but the math in the 2 helix mute gene canx ref the noneva way to it. ck 2 see. https://t.co/IAPXgtvLpP #mdpientropy The #issuecover of Volume 20, Issue 5 is coming:  #Quantum Trajectories: Real or Surreal? Authored by Prof. Basil  J. Hiley and Dr. Peter Van Reeth of University College London  @ucl https://t.co/QzrzX5NPVm https://t.co/sG6LIjlj2r	1				
pisses me off so much knowing that cancer was man made and that there is a cure for it but only the rich and powerful have the cure for it and like so many people have to die for it and also...where does all the money for cancer research go?? oh wait ha...	1				
Trump could cure cancer and niggas will still hate on that man 😂	1				
@sam_armytage And yet! No cure for cancer!!! Who approves these studies ???? 😳	1				
President Trump Good Job My Man--- as it has been said by to may you Mr. President could find a cure for cancer and The vindictive spiteful malicious bitter  cruel nasty  malevolent unforgiving revengeful vengeful resentful bitter ruthless merciless FAKE MEDIA would blame you https://t.co/FXZoNplOPG	1				
@apoliticvoice Shouldn't really come as a surprise though. Trump could cure cancer, get gas down to .25 a gallon, end world hunger and they'd STILL piss &amp; moan.	1				
@MorOhmic @265dogs @mikehun87546862 @CathleenVCain @RushKingFloyd @CuddleTalk @DCraelin @RobertK39318671 @IonsBioteknik @aholmes4418 @ModiFiedIndia_ @fk_eduardo @AFTunion @DemCorps @Smartiecats @djjoman @ChuckWendig @law145 @aarasht @RandyLeBlanc24 @Chamilton515 I'm confused. A few months ago the left was praising NK at the Olympics and siding with them just to spite Trump. Now y'all are against trump when he wants to push peace.   If trump found the cure to cancer, y'all would complain about him putting researchers out of the job	1				
@Mr_Papadopolous Exactly. The entirety of human history has been predicated on our desire to survive and people think a cure for cancer would somehow not be ridiculously profitable? I don’t get it	1				
@amy_oosterhouse @MurphysAmerica @kimalyceosteen @DeplorableFinch @islandlady712 @Klein2Eric @realDailyWire @atensnut Every single time I waste my time trying to show people like you the light, they never, ever change! Still fixated on the Russian lie, the pu$$y comment and golf! Such a waste of my time! My God, he just met with N Korea! That alone, Obama couldn’t do! Trump could cure cancer	1				
💯-&gt; Positivity can’t cure cancer – and neither can fighting talk @thepooluk #thepool https://t.co/HcS1hbGgOx	1				
@HayesJ95_14 @TorreySmithWR It gets a dialogue going just like right now.  I have always thought , most of us can't cure cancer, however, we can help cure gun violence by standing up to the NRA  and voting for people who "get it"	1				
AMERICAN CHILDREN SEPARATED FROM THERE PARENTS EVERY DAY IN AMERICA_WHEN THE PARENTS BREAK THE LAW AND GO TO JAIL AS WELL_WE HAVE A PROCESS  FOR PEOPLE TO COME HERE LEGALLY NOT ILLEGALLY_THAT'S BREAKING THE LAW AS A NON CITIZEN_THERE'S NO DIFFERENCE_SO GET IN LINE PEOPLE #USA #,: https://t.co/AbDAGX59qy #POTUS TRUMP FOUND A CURE FOR CANCER Liberals WOULD SAY_ WHAT TOOK HIM SO LONG ) DEMOCRATS SHOULD BE HELD TO ACCOUNT FOR THE SAME STANDARDS THEY REQUIRE FROM EVERYONE ELSE BUT THEMSELVES_A BUNCH OF HIPPO CRAP_DEMOCRAT LEFT-WING HACKS_FIRE MUELLER #POTUS_LIBS ON CRACK;'%÷ https://t.co/qXMdQvpSoV	1				
Pogba could cure cancer, world hunger and establish world peace and he still won't get the recognition and praise he deserved	1				
@Jabanker @DavidMDrucker @JohnJHarwood @BarackObama @realDonaldTrump I can attempt to cure cancer by mixing baking soda and vinegar, but I don't think I deserve applause.	1				
@HolderStephen First of all, I like your reporting.  However, there has not been a POTUS in my lifetime (64 years) who has been bashed by media as much as @realDonaldTrump.  I think he could find a cancer cure and dems would find a problem with it.	1				
This last year has been the hardest of my life - to all the cancer researchers, doctors, nurses and caregivers who are so selflessly dedicated to finding a cure and healing patients, you are my heroes and I am grateful for the hope and strength you continue to give me &amp; my family So glad your family has healthcare insurance to pay for everything you listed.  Too bad more then half Americans don’t have or can’t afford it.  Best wishes for your dad. https://t.co/b9aPEO2eGk	1				
Seriously wow. Dari dulu pegang dgn ayat "Tiada penyakit yang tak boleh disembuh kecuali mati" and actually doubted it a bit as I grew cos cure for cancer havent been found. Well, what do you know!	1				
Research Dr Sebi THERE IS A CURE in waiting for @NipseyHussle to bless us with this documentary we just have to project the homie afterwards https://t.co/iC9p3cq0op	1				
@BrendaL46066861 @YoungGOPNOW @funder Then I guess I don't belong. I support Trump but I'm smart enough to respect peoples opinions. But who cares. I can cure cancer and still receive death threats for not voting for a Corrupt witch	1				
May Allah bless Begum Kalsoom Nawaz with speedy recovery. May Allah cure her cancer and shower His blessings on all! I hope she gets cured and enjoys life with the whole family as before. Ameen! https://t.co/h7TpO9FhCK	1				
@fitizen93 its exactly what i like about fgs, people dont take it too seriously. yeah we still wanna improve but at the end of the day, we know we dont cure cancer, save lives etc - we are just some dudes entertaining ourselves and others	1				
@TheWeirdJenkins @BarumDean @ElContador2000 @artists4brexit @philpickett @LowTaxChloe @LondonLeavers @WillFranken @williedrennan @poshfruit @MegLeeChin @Lugey6 @M_E_Lightfoot Has anyone noticed that alot of hardcore remainers are like Deano. You could come up with a cure for cancer but a wrong letter here or grammatical error there and BANG. Spelling police. Clever observation.  If, THEY had produced the cure, spelling mistakes would be acceptable.  The Left's hypocrisy is taught.  Each individual is an expert in it. https://t.co/wfaLpHg9TX	1				
And the iranian youngsters will roast in the chemotherapy of the sick business environment for a couple of years. The days of our youth https://t.co/0lPTY74cHG As people’s anger boils over in the streets there are talks that the Rouhani government should resign. But you do not cure cancer with an aspirin. The tumor needs to be removed- - and tumor is IRI and the surgeons are the people.	1				
@JohnTileyITQ They didn’t say it cure cancer and helps lots of brain malfunction, and that it doesn’t have to be an hallucinogenic,   Tonnes of research on its properties. But no profit in it for Big Pharma.  So no go.	1				
@mykolcudingham This bitch rlly used celebrities not having cancer as a valid reason for why the govt is responsible for the cure not being available and only non celebrity/POI getting cancer	1				
@allen21howard @SelfLoathingYou @bomani_jones Yeah and most of you are the sames ones who got trump elected. Also are the same ones who don’t believe their is a cure for diseases including HIV, AIDS, and Cancer. Just look up Dr.Sebi	1				
Please mark this date in your diary - 1st September! Are interested in eating amazing food, while dressing up and raising vital funds for the Cure Brain Cancer foundation then PLEASE SHARE and come along! https://t.co/Jip1GTGR2Y	1				
this is the smile that could end wars and cure cancer &lt;3	1				
When Ixa comes back to that galaxy far, far away after being lost in Azeroth since forever... he might be a bit happy to see her. :3 I swear, Arcann's smile can create world peace and cure cancer. &lt;3 https://t.co/A1zYVBT9NN	1				
@TalbertSwan @GregShugar @realDonaldTrump You stupid af lol! That's like say "hurr durr we got the cure for cancer but not the cure for aids"  A step at a time pleighboi. Unless you can do better don't talk smack! Let's see you go to Singapore, meet up with Kim, and demand a laundry list of demands! See how well dat goes	1				
#StrugglesForTrump the only struggles he's had is dealing with 5 year old leftists.  seriously this dude could personally cure cancer and they'd still find a way to bitch and cry about it.  bout time these libtards grow up and get over themselves.	1				
@POTUS YOU SIR ARE SELECTED BY ME AND INSTRUCTED BY GOD TO DO SO, TO SAVE THE WORLD AND ACHIEVE WORLD PEACE IN OUR LIFETIME.  THE CURE OF CURES TO SAVE US FROM DISEASE, BACTERIAL AND VIRAL..ALL CANCER AND AIDS AND CHEAP CLEAN ENERGY IN MOLTEN FLUORIDE OF THORIUM REACTORS.  CAN BE	1				
@yosifina_11 if scientists have the time and talent to grow shaped fruit inside plastic then they can find the cure to cancer   Society has put soo much money into something that doctors claim they can't find a cure to. Like how	1				
@SethAbramson Then there will be another issue, then another, etc. this has been going on for 2 years now. All along @POTUS has been doing a good job. I know many will argue not, but if he found the cure for cancer some people would be upset and protest. Stop acting like kids in a cereal isle.	1				
@sajidjavid @Matthew_Hoy All this money being pumped to finding a cure people are suffering people are losing their battles to these diseases such as cancer  and esentional we have one in front of our eyes it's crazy	1				
@Rapid_RSA @ZukoMntonintshi @Ugqozi1 @PeaceRangel I definitely recommend anything that has to do with ganja as a cure for cancer. If you were in Nigeria, I'd have sent you someone's number that sells ganja oil as a cure for many diseases and not only cancer. I can vouch for it too as I've used it for myself.	1				
@zylenpydra obviously 0 beef with trying 2 cure cancer there's just other causes that are more Near And Dear 4 me .. ive got limited cash so i gotta limit my expenditure and be judicious w it	1				
one of these days there will be a cure for cancer and i am legend will become a reality https://t.co/W3YhiSgBWh	1				
This Fathers’ Day join me in the fight against kids' cancer!   https://t.co/XuCZwogFdn  All funds raised will support Children's Cancer Research Fund to continue their work in developing innovative treatments and finding a cure for childhood cancer.  Every donation counts!	1				
So men can have a baby but we still can’t get served the cure to aids and cancer smh	1				
@eugenegu No outrage when obama did this stuff. Fake outrage along with fake medicine. Cure cancer and stfu	1				
Hemp oil is a nutritious oil. Touted to be a cure for cancer the oil provides health benefits for skin hair and eczema._The ideal racecar will expire 100 yards past the finish line-S Moss https://t.co/PxvCFMCmgw https://t.co/iJpaF3fQy2 #Training #backlinks #start	1				
@realDonaldTrump You could cure cancer and end world wide poverty overnight and MSM would spin it that you’ve put doctors and the Red Cross out of work. For all the haters there’s those of us that see what you’re doing as good.	1				
Buy Medicinal cannabis oil to cure cancer, relief chronic pain and depression.We equally have top grade strains of marijuana for recreational purposes(Afghan kush,ak47,blackberry kush,durban poison etc) We are fast,reliable and discreet.Go to Whatsapp or text 470 588 5155 https://t.co/JxHMJUzeoU	1				
@bekahmack1 @ShinobiNinja It is not a cure for cancer. It helps with creating an appetite and helps suppresses some pain caused when sick with that nasty C word. However it does not cure cancer. The biggest threat to a cancerous cell is https://t.co/ov3Ur5FnpW remove Oxygen from lungs, brain and the body	1				
it’s so disappointing knowing how much our world has evolved and there is still no cure for cancer!!! 😭😭😭😭😭😭😭😭😭😭😭	1				
@XHill27 Thank you so much that's so lovely and kind of you and I completely agree that cancer needs a cure it affects so many lives	1				
I love that no matter what I do my mom hates me. I could literally cure cancer and she’d still criticize me.	1				
Cancer is such a horrible illness, wish they didn’t have to tell people it’s terminal and they were just able to cure it 😣	1				
Hemp oil is a nutritious oil. Touted to be a cure for cancer the oil provides health benefits for skin hair and eczema.&gt;Visual content is 40 times more likely to get shared on social media! https://t.co/PxvCFMCmgw https://t.co/stLFgYST69 #makemoneyonline @TamaraMcCleary	1				
@RoamingMil I just wonder if "we" have killed the cure for cancer and how many times that's happened!	1				
While you slaves are at work. I've been asked to cure cancer and crip walk down Mt. Everest..... who's really winning #NotMe	1				
Why is vitamin b17 illegal? does b17 really cure cancer? | By #Weight loss tips and tricks https://t.co/mgfeVLe0KP	1				
The struggle for a cure is less about disease and more about battling the institution in THE TRUTH ABOUT CANCER https://t.co/LMml0KRsex https://t.co/aapG3jfkNj	1				
@bcshields3 @marksparkman @GeraldoRivera @seanhannity @realDonaldTrump @POTUS Probably not you're too damn stupid I bet you don't even know what it means you're just a brainwashed zombie of CNN and the rest of those leftist AHOLES LET ME ASK YOU A HYPOTHETICAL QUESTION IF DONALD TRUMP DID FIND THE CURE FOR CANCER WOULD YOU THINK HIM	1				
New post (10 Magical Foods &amp; Tips to Cure and Prevent Breast Cancer) has been published on Type Two Diabetes - https://t.co/xhAyM5dn00 https://t.co/TDwD2vGZ1I	1				
What if we could make cancer catch a cold? With Oncolytic Virus Therapy from ABC, we can do exactly that by using a modified virus to attack cancer cells, destroying them from the inside. #GoBoldly https://t.co/g3MB5F0Vm6 https://t.co/TnDNfXDe39 Big pharmaceuticals want you to have cancer and disease, they do not want to cure it! #TruthAboutCancer is a must see documentary that proves pharmaceuticals and chemotherapy actually kills!! https://t.co/dt9sdqqIvi	1				
Vegans are gonna find the cure to cancer, if they can make vegan steak and milk they can do anything	1				
Cancer patients still face absurd travel insurance charges years after cure and for low grade tumours, even when their history does not necessitate treatment https://t.co/F86UFEBd5L	1				
A lovely sentiment and sign of tolerance and open mindedness for us all. Nicely said, @doctortara. Now, go cure some cancer! https://t.co/vPmfyerLwz I’m a better person, thinker and American for getting to know the Bush Family, @TheBushCenter @PLSprogram . Thank you @laurawbush George W Bush, it’s been an honor of a lifetime. https://t.co/cSkL7SrQHD	1				
@marklutchman HEADLINE: TRUMP CURES CANCER  Liberals: Stupid orange Trump put doctors out of work.  Some doctors are immigrants and minorities. Racist!  Xenophobe!  The Russians probably have him the cure to destroy America! Impeach!!!	1				
OMG, UM CURE 2020 admits they don't care about the primary tumor:  https://t.co/e7O6EKr4K0  #Wolbachia #ZIKV #phage #oncologists #GBS #uveal #melanoma #lymphoma #Rickettsiales #PCR #Rickettsioses #HGT #LGT #rare #eye #cancer #clusters #ethics	1				
@keithellison Trump could cure cancer and you would be sad.	1				
@_EthanGrey The time to confront was decades ago. We're about to the point where we need to cull the population. Bigotry has festered and now dominates. Radical surgery is needed to cure this cancer.	1				
AMERICAN CHILDREN SEPARATED FROM THERE PARENTS EVERY DAY IN AMERICA_WHEN THE PARENTS BREAK THE LAW AND GO TO JAIL AS WELL_WE HAVE A PROCESS  FOR PEOPLE TO COME HERE LEGALLY NOT ILLEGALLY_THAT'S BREAKING THE LAW AS A NON CITIZEN_THERE'S NO DIFFERENCE_SO GET IN LINE PEOPLE #USA:*_ https://t.co/XikRmwpHFk #POTUS TRUMP FOUND A CURE FOR CANCER Liberals WOULD SAY_ WHAT TOOK HIM SO LONG ) DEMOCRATS SHOULD BE HELD TO ACCOUNT FOR THE SAME STANDARDS THEY REQUIRE FROM EVERYONE ELSE BUT THEMSELVES_A BUNCH OF HIPPO CRAP_DEMOCRAT LEFT-WING HACKS_HAPPY BIRTHDAY #POTUS_LIBS ON CRACK... https://t.co/Xz4aHi44ft	1				
@IonoclastBrigs @Ocasio2018 @johncardillo President Trump could cure cancer and you would still find something to bitch about	1				
@cathmckenna Carbon price fills your pockets! That’s it! Do you have a plan to use the carbon tax for sustainable energy production? As if the tobacco tax helped reduce the smokers and helped discover the cure for cancer!	1				
Forgive me this coming from someone who is in Twitter jail quite often if IF I DONT BELIEVE YOU! They are the ones creating the political bias on social media! It's like asking cancer to cure itself! No way! https://t.co/YUpLYaIo70	1				
@mrYork1983 @theJeremyVine @BBCRadio2 World peace, @mryork1983?Trump is picking fights and insulting Canada!!!  And the only cancer he’ll ever cure is the one in the White House - which he’ll eradicate when he leaves.	1				
At this rate trump could cure cancer and people would still hate on him it’s stupid -_-	1				
@joshrogin Trump could cure cancer and you would find something terrible about it. Go away you media Trump haters, you are not journalists.	1				
I CAN BE A SEXY DOCTOR AND CURE SOME SEXY CANCER	1				
@amjoyshow @RepMaxineWaters @MaxineWaters Trump: I worked with the CDC to cure Cancer. Maxine: We need to impeach Trump for the reckless and selfish act of depriving people the opportunity to get cancer. If she said that, no one would be surprised.	1				
@thejunctionman @Russian26064141 @NRATV @DWells63 @dbongino Media never attacked Obama like they do Trump. The man could cure cancer and CNN would find something to bitch about. And yes, it’s leftist media... obviously	1				
There's actually a cure for it,it's just that they want us to go to the hospital so they earn money https://t.co/zZGLpukFtI	1				
@FoxNews @charliekirk11 Trump could cure cancer and these same sort would be out, blocking traffic, holding signs that read “We have a right to our cancer!” 👌🏻	1				
@Juliet777777 This is funny. What will be next? Banning trees when immigrants revert to using sticks and clubs? You cure a cancer by cutting it out, not by fighting its symptoms.	1				
Buy cannabis oil to cure cancer, insomnia,epilepsy  relief chronic pain, depression etc. We equally have top grade strains and we sell to patients and stoners as well. Buy (vapepens,concentrates,edibles, seeds, top grade bud etc). We are fast,reliable and discreet...Dm for orders https://t.co/Nh3jLDk6UX	1				
RT @TheNMKingdom2: Nicki could cure cancer and y’all would still find a way to hate her for it. Pathetic.	1				
we think we are smart enough to decipher the meaning of life, to know if there is afterlife or not, to cure cancer and yet we cant even describe what water tastes like	1				
#TheDifferenceBetween finding a cure for cancer and finding a cure for stupid is that there's hope in fighting and winning against cancer and there's hope. You can't fix stupid.	1				
@gilesedwards @davidgerard @FelicityHannah @katebevan @Baddiel @BBCRadio4 @BBCRoryCJ Ah but blockchain is very different and will cure cancer and sort out climate change get on board now!!!!	1				
@natethegreat118 @Ntokozo__ Find a cure for cancer and stop wasting our time	1				
@ofTimeSpace @reservoirbunny @robbymonk Trump could cure cancer and you’d still find a way to demonize him for it.	1				
@CNN President Trump could cure cancer and the left will be outraged	1				
