,Tweet Text,# number,Medical relevance,X,Does X cure cancer,Unnamed: 5
491,"@normanlamb @theresa_may Much sympathy for the poor patient. But please don't present this is a simple cure blocked by numpty bureaucrats. CRUK's blog is excellent, detailed, and evidence-packed: https://t.co/8zSWXo2QVi",4,no,,no,
493,"If Trump discovered the cure for cancer, liberals would say he was deliberately worsening climate change by allowing more people to live and impact the environment.",4,no,,no,
495,RT @genevaissleepy: I can be a sexy doctor and cure some sexy cancer,4,no,,no,
496,"What‰Û¡ÌÝå»s good for you and also for all the women you love? A 5K to battle breast cancer. Run the @KomenNewEng Race for the Cure on Saturday, July 21. Info at https://t.co/rLA3zShpy2. https://t.co/g09QA5GkF7",4,no,,no,
497,@thekidland @NICKIMINAJ It has been happening since she popped off... She could find the cure for cancer and people would still hate her. Everything she does someone has something negative to say. She could breath and someone would say something negative about it.,4,no,,no,
499,RT @fangirlingvrydy: smiles that could end wars and cure cancer ?,4,no,,no,
500,"One year ago, #BuckeyeNurse Marri McAndrews rode in @Pelotonia to cure cancer. She‰Û¡ÌÝå»s still working and fighting hard to #EndCancer. We‰Û¡ÌÝå»re so proud of the work she and our friends at @OSUCCC_James do towards beating cancer. Support her ride: https://t.co/3n2Ntu8ZjW ?????? https://t.co/qNsrSxLfy2",4,no,,no,
501,"? Special delivery!? Team Spring for a Cure dropped off a $100,000 check for Pelotonia and helped push us over $ 1??6??2?? million raised for cancer research! ? https://t.co/ApXh9DsFp6",4,no,,no,
502,"It's weird how the Left isn't giving Trump some sort of credit for this #ExecutiveOrder. I swear if this fucker found the cure for cancer and gave it out for free, y'all would still find something bad about it. I'm guessing y'all just have too much pride &amp; ego to acknowledge",4,no,,no,
503,"Bummed that I‰Û¡ÌÝå»m missing out on the free meet and greet but being a mom takes precedence over being a fangirl (Damn kid better find the cure for cancer when she grows up, I‰Û¡ÌÝå»ve sacrificed too much hahaha chos jk not really because we really need a cure and I want Izzy to find it)",4,no,,no,
504,"@GrumpyOleRednek @ms_defied @4everconstant @55_Thunderbolt @JessicaForrest @hatedtruthpig77 @JamVee @wwwillstand @RealestBenjamin @ChristianDems @jeffsessions @PressSec @VP @WhiteHouse @realDonaldTrump @integrumwm @Christinaof9 @WhatWldJesusPod @newman4life @PasForrester This is so true about everything! Ending this abominable,horrendous, and inhuman act is like the cure for the cancer of evil growing in our society today! It‰Û¡ÌÝå»s the FOUNDATION of love! We need to bring back taboos in our society!",4,no,,no,
505,I'm a 17yr Stage 4 inoperable Neuroendocrine Carcinoid Cancer Survivor. This disease has no cure and is the most misdiagnosed disease in the world. The survival rate is 5yrs. Plz read my remarkable miracle in my book Living With the Silent Enemy coming soon. Lets End Cancer#,4,no,,no,
506,"@jordylancaster The first female President, maybe even the scientist who was to cure cancer could have been among the millions of lives (all of which would‰Û¡ÌÝå»ve been special in their own ways) unjustly precluded by abortion. I will be praying about this (&amp; should have been already).",4,no,,no,
507,"Some personal news: Over the last 4 years, I thought I'd be The One that would cure my incurable cancer. Turns out, I didn't. That may be the biggest blessing of them all: https://t.co/TF9lV1ogme",4,no,,no,
508,"Defeat DIPG... No cure for this debilitating brain cancer. It comes on suddenly like a thief in the night, leaving many question and much despair. In her short life, Zoey surely lived. @thetruth365film #braincancer @DefeatDIPG #childhoodcancer https://t.co/u6aBkDjMl6 An article about Zoey, everyone should read this, understand what is happening to our children because there is no research funding. Zoey deserved more and had so much more to give. #DIPG #MoreThan4 https://t.co/HhN0PN7XZu",4,no,,no,
509,@JackPosobiec Our President just negotiated world Peace and the media over hype an issue that has been going on for a long time. They will never report anything positive about him. It's never been more obvious than now. He could cure cancer and they would still spread crap about him.,4,no,,no,
511,"why did the universe put so much power in @bearfaceington's voice???? he's really using different ranges in 1999 wildfire and holy fuck IT'S SO BEAUTIFUL I'm actually concerned abt how powerful his voice is this is too much he's gonna sing and cure cancer, my depression, kill me",4,no,,no,
513,@DrLoveResearch focuses on finding a cure and preventing breast cancer. #FollowThem https://t.co/B0JnV1VWhH via @caretoclick,4,no,,no,
514,"@MediJoshi The fact of the matter is Pogba contributes an assist &amp; winning goal. But unless he also invents a cure for cancer and brings an end to all the current wars that are ongoing, he won‰Û¡ÌÝå»t get any credit. The media‰Û¡ÌÝå»s agenda is baffling, isn‰Û¡ÌÝå»t it ! #itsaunitedthing",4,no,,no,
515,"In India we can debate almost anything - but not this. Modi ability to bond with citizens &amp; show them a vision for the future is truly unparalleled; don't see any other neta tapping into/reading/captivating minds of voters - as well as Modi did - in 2014 https://t.co/ywAEVOcRcs And how does mere ""bonding"" &amp; being ""popular"" help taxpaying citizens dealing with joblessness n festering hate? Is Modi's ""love?!?"" itself a cure like cow urine is for cancer?? https://t.co/nfZOUi7BOo",4,no,,no,
516,"Trump could discover the cure for cancer and CNN wouldn‰Û¡ÌÝå»t report it. Many of us have learned to simply tune those ineffective obstructionist out and keep plunging forward. So far so good! https://t.co/4o9gpziJb5 Why is @realDonaldTrump being blamed for simply saying ‰Û¡ÌÝÌthoughts and prayers‰Û¡ÌÝå in the aftermath of the shooting? For an attack that just took place against journalists, most journalists seem more concerned with attacking Trump instead of doing their jobs. Or is that their job?",4,no,,no,
517,"*BREAKING NEWS* (Hypothetical Situation) President Trump finds cure for cancer! Everyone and their mother: ""What a piece of shit! He probably knew this whole time!"" I dont agree with some of the shit the guy does/says, but some of ya'll will NEVER be satisfied ?",4,no,,no,
518,@thehill Trump could invent a cure for cancer and the jackasses would complain it was too late or it only worked on whites and Christians. They are rejecting him like they rejected Jesus in Jerusalem. Not that I am in NO WAY comparing Trump as being Jesus. He is just a man. Jesus is God!,4,no,,no,
520,Marie Urmston\'s PMC https://t.co/LeU2UUuNgK It‰Û¡ÌÝå»s time to step up and be someone‰Û¡ÌÝå»s hero. Help cure cancer. Donate to my ride please. Any amount. Forget the dunkin for a day and help end cancer ?,4,no,,no,
521,The @HeadfortheCure 5K here in KC is in just 2 months! Please join me in the fight against brain cancer...a cause that is very near and dear to my heart! #hftc5k2018 Metro KC - Head for the Cure Foundation https://t.co/aj8aKfNZiS,4,no,,no,
522,RT @Schlife03: Trump could find the cure for cancer and people would still hate on him ? #petty,4,no,,no,
523,"REALLY ??? Ben Rhodes appears to be saying that paying off Iran without congressional approval was fine... since it was the end of Obama's administration. You've got to be kidding me! https://t.co/akC7Fl4JsG... https://t.co/dJsEY4zmVG FOR THE LOVE OF PETE!? I am staring think that Trump could cure cancer and the left would still find a way to put a negative spin on it. AWESOME JOB MR. PRESIDENT?? ‰Û¡ÌÝÌáRocket Man‰Û¡ÌÝå» 1, Trump 0: North Korea Keeps Its Nukes for Now https://t.co/jxaWTvtWi7",4,no,,no,
524,"6: I want to be an Avenger when I grow up M: Sweetie Avengers aren't- 6: and use my superpowers to cure cancer. M: Well, let's find you a cape.",4,no,,no,
527,"@_IamAnita_D @kwilli1046 Democrats don't want it fixed! It fits their agenda to use and go after Trump! Like: ""Its more Lucrative to treat Cancer then to cure it!""",4,no,,no,
528,@C_3C_3 @michaelscolvin .@POTUSit It is time for the President to acknowledge the attempted coup and fire them otherwise they will just go deeper underground and hook up with Obama‰Û¡ÌÝå»s underground org run with Valerie Jarret and co. You can‰Û¡ÌÝå»t cure the cancer unless you kill all the cells.,4,no,,no,
529,"@Logxngsta @Lunaa I swear logan could end world hunger, find a cure for cancer, donate to a billion charities and people would STILL be like ‰Û¡ÌÝÌwAiT hE FiLmEd ThAt DeAd BoDy ThAt OnE TiMe‰Û¡ÌÝå",4,no,,no,
530,RT @Kankross: You can create a whole ass baby and give it life but y'all can't cure HIV and Cancer?,4,no,,no,
531,"I am so angry. I‰Û¡ÌÝå»m angry that there is no cure for cancer and I‰Û¡ÌÝå»m angry that this evil disease can take anyone it wants to, especially innocent young children with so much life. My Emma bug took her last breath today and I‰Û¡ÌÝå»ll never be able to shake this? RIP babygirl. https://t.co/CRuo9TSO6Y",4,no,,no,
532,I‰Û¡ÌÝå»m telling you. Mark my words. @realDonaldTrump could cure cancer and the left will just accuse him of spreading cancers. Vote out ALL Democrats. I WILL NEVER be voting for a Democrat. And I am not alone.,4,no,,no,
533,@TeamCavuto @RepSwalwell Trump said time after time that he did not want the children separated. Swalwell could not recognize empathy if it hit him between the eyes. Trump could personally find the cure for cancer and Swalwell would accuse him of causing an over population problem.,4,no,,no,
534,"RT @Devinmcarr: Once I lose weight, fix my acne, get my PhD in astrophysics, and cure cancer it's over for you hoes.",4,no,,no,
535,Employers be like: You need 3 degrees 6 years of volunteer hours 12 years of job shadowing Know the cure for cancer Must have beaten rainbow road on expert while blindfolded,4,no,,no,
537,Okay but fr imagine how powerful and i c o n i c it will be to see Sasha crown Aquaria. It will: ‰Û¡ÌÝå¢ clear everyone‰Û¡ÌÝå»s acne ‰Û¡ÌÝå¢ cure cancer ‰Û¡ÌÝå¢ give everyone 20/20 vision ‰Û¡ÌÝå¢ save the dying earth ‰Û¡ÌÝå¢ end world hunger ‰Û¡ÌÝå¢ create world peace #TeamAquaria #DragRaceFinale,4,no,,no,
538,"@xGoombae Your level of uncoolness is so super high, that Martin Shkreli would try slicing a bit of your body off, drain the uncoolness off that small bit, add some hydrogen peroxide to it, claim it's the cure for cancer and jack up it's price to 100k",4,no,,no,
539,"Before and After! Great to be able to support St Baldricks, Rep Yeulin Willett, and the fight to find a cure for childhood cancer! #soperhd54 #childhoodcancer #childhoodcancerawareness‰Û¡ÌÝ_ https://t.co/JJbBA09FCd",4,no,,no,
540,@bankdeny @jsssiv @YokaOfficial @geertwilderspvv Freedom of speech and being allowed to question everything are the basis of democracy and scientific progress.. ultimately it will make it possible to cure cancer and explore the universe.. looking for truth.,4,no,,no,
541,"?I know I may not be a typical beauty, and no one‰Û¡ÌÝå»s ever gonna pay me to walk the runway at Fashion Week. I‰Û¡ÌÝå»m not gonna cure cancer, or write the great American novel, but if you give me a stage to sing on, I know in my gut, there‰Û¡ÌÝå»s no one that can beat me.? https://t.co/sSlHqhg2kQ",4,no,,no,
542,I'm a 17 yr Stage 4 Survivor with Neuroendocrine Carcinoid Cancer. This disease has no cure and is the most misdiagnosed disease in the world. The survival rate is 5 yrs. Plz read my remarkable book Living With the Silent Enemy coming very soon. Plz support M. D. Anderson.,4,no,,no,
543,"@DrMendelsohn @jerome_corsi Not only is thus country not ready for a cancer cure, people who know how to cure cancer are viciously attacked and worse",4,no,,no,
544,"There's still time to join #TeamCureBrainCancer at the iconic Sun-Herald @City2Surf! By joining the team, you will receive a FREE 2XU running singlet to wear as you run to help find a cure for brain cancer. Register now and start fundraising today ?? https://t.co/L7UJ9VW6dT https://t.co/eHwMHxPdaJ",4,no,,no,
546,"So y‰Û¡ÌÝå»all can do this...but still claim that there is still no cure for things like HIV/AIDS, Cancer, Lupus, Herpes, Diabetes and Alzheimers??...BULLSHIT??? https://t.co/CR5jhz2Xbs",4,no,,no,
547,Thousands are effected with this misdiagnosed disease and there is no cure for Neuroendocrine Carcinoid Cancer. The survival rate for this disease is five years. Plz read my remarkable miracle in my book Living With the Silent Enemy coming soon. Plz support M. D. Anderson.,4,no,,no,
549,"In the middle of his cancer, @Totalbiscuit was committed to every possible treatment, no matter how scary, because he knew even if he wasn't cured, he would be contributing to someone else's cure in the future. What an incredible and selfless role model in this life and beyond.",4,no,,no,
550,"There is a cure for cancer, but it‰Û¡ÌÝå»s not being released cause that‰Û¡ÌÝå»s more money for doctors and hospitals. Sorry you can‰Û¡ÌÝå»t tell me any different. ?????",4,no,,no,
551,"@GalFjelldahl Honestly, with how serious they talk about kpop you would think they are about to achieve world peace, cure cancer and end hunger",4,no,,no,
552,I'm a 17 yr Stage 4 Survivor with inoperable Stage 4 Neuroendocrine Carcinoid Cancer. This disease has No cure and is the most misdiagnosed disease in the world.The survival rate for this disease is 5yrs. Plz read my remarkable miracle in my book Living With the Silent Enemy soon,4,no,,no,
555,"PAUSE ? #LoveIsland? Turn over to @BBCTwo at 9.30pm to hear what it‰Û¡ÌÝå»s like to have cancer as a teenager. It‰Û¡ÌÝå»s not easy to watch, but it happens, and to thousands of us each year. We can‰Û¡ÌÝå»t cure it yet, but charities like @TeenageCancer can make it a little easier..?",4,no,,no,
556,"So what we‰Û¡ÌÝå»re NOT about to do is tell us you can create living creatures in ziploc baggies, yet still can‰Û¡ÌÝå»t find a cure for HIV and cancer. https://t.co/tGFLA2jAqL",4,no,,no,
557,Pharmacies make too much money off incurable diseases like HIV and cancer. They make more money ‰Û¡ÌÝÌtreating‰Û¡ÌÝå you than healing you. THE US IS TOO MONEY HUNGRY TO EVER GIVE US THE CURE IM SURE THEY HAVE https://t.co/zrHBnMriDk So you mean to tell me that the U.S government got billions and trillions of dollars and can‰Û¡ÌÝå»t get us a cure for HIV and HSV and other diseases that are incurable? Okaaaayyyyyy,4,no,,no,
558,RT @_KingOfTheHill1: Just give us the cure cancer and sexual diseases https://t.co/qt6n6WrqsE,4,no,,no,
559,"Oligo -- meaning few - metastatic patients treated aggressively may actually have a change for that much hoped for ""c"" word: cure https://t.co/TbWt64jZtq Are you an oligo Mets #metastatic breast cancer patient? 14k patients are but very few know their treatment options Oligometastatic Breast Cancer Patients Salute Dr. Weichselbaum and Work to Educate Others https://t.co/LY5CeX0G9w",4,no,,no,
560,"Foo is a cure for every disease,disorder,etc on this planet,yo money just gotta be right??The government gone lose so much money,?????this sad but true??? https://t.co/UxjOvCeLSu",4,no,,no,
561,"For decades, Hulda Regehr Clark claimed to have the cure for cancer and made millions of dollars. She died of cancer in 2009.",4,no,,no,
562,"Most BB fans pre feeds: Haleigh looks like Raven and Aaryn had a child. She is cancelled before she even started. BB fans now: Haleigh is a queen, a hero, her mind blows my mind, I want her babies, she will save America and cure cancer. I love this fandom ???? #BB20 https://t.co/6Ryb3NS6vs",4,no,,no,
563,@JagerbombsORtea @DivinaFarms @Lemmynx @JStein_WaPo @Ocasio2018 No the problem is that cancer would likely have a better solution to it if the drug market werent government regulated. There's no incentive to legitimately research a cure because it's entirely too profitable to not keep the process inefficient.,4,no,,no,
564,"You can change the world, End poverty, Eradicate cancer, Find a cure for AIDS, But ... If you're not domesticated, to Nigerians your life is a failure. You're not a good person and have no character whatsoever. You're useless and not useful and your parents have failed???",4,no,,no,
565,RT @qtpiejeon: this is the smile that could end wars and cure cancer &lt;3,4,no,,no,
566,"Rest in peace my guy @xGlockk or known as walker, he was a really great guy, friendly and cool, even though he lost his life he hasnt lost the battle towards beating cancer, he has made a step closer to finding a cure to beating it.",4,no,,no,
569,RT @kennth9134: @Godfather043 @realDonaldTrump He could cure cancer and he'd still be a crook and a Traitor.,4,no,,no,
571,@IndyrefTWO @mlindsay122015 For BBC Scotland absolutely it would be of interest. If SNP discovered cure for cancer and world poverty would a story about fitba get top billing?,4,no,,no,
572,@clairlemon If this was an increasing type of cancer afflicting children and young adults with a 100% cure rate that required major surgery and life long meds resulting in infertility most people would be rallying for prevention and not saying how wonderful it is that there's treatment.,4,no,,no,
573,"I laugh when people say ‰Û¡ÌÝÌthere has to be a cure for cancer.‰Û¡ÌÝå First of all, cancer is so unbelievably complex bc it‰Û¡ÌÝå»s your own genetics and cells fucking you up and every single cancer is different so one treatment isn‰Û¡ÌÝå»t the end all cure all. Please take your ignorance elsewhere.",4,no,,no,
574,"Biologists and chemists teaming up with video gamer designers to cure cancer? If you think Avengers: Infinity War was the biggest crossover event in history, wait until you see what our Center for Drug Discovery, Design, and Delivery is working on. https://t.co/PJmRS6i1oB",4,no,,no,
575,RT @KrisEadie: Could cure cancer and my maws response would be she started work at 6 the day,4,no,,no,
576,"@starcrosswolf Everything is racist to a race baiting race hustler @SenKamalaHarris She plays the race card no matter what the topic. If @POTUS helped cure cancer or balanced the budget tomorrow, she would claim it was racist and want it reversed. Your race pandering message is getting old...",4,no,,no,
577,"@LawrenceBJones3 Just another chess move by Trump. They are always two steps behind him. Also, he proved once again that no matter what he does they‰Û¡ÌÝå»ll oppose it. He could cure cancer tomorrow and they would all be saying how great cancer was and trying to bring it back.",4,no,,no,
578,"If you'd like to volunteer on July 4th for the Stanley Cup event with John Carlson, and help us in the fight to cure a deadly childhood brain cancer, please sign up at this link: https://t.co/YmexcNAcVe",4,no,,no,
579,"People with a Phd in bioengineering, who graduated top of their class in their Ivy League school, and are now researching a cure for cancer. https://t.co/B1TNx5jdCC",4,no,,no,
581,@Hibsta__ Medication and vaccines do us more harm than good. Most medication doesn‰Û¡ÌÝå»t heal. It suppresses some illnesses just enough to keep you coming back and spending money. There‰Û¡ÌÝå»s also been a cure to aids and cancer for a while. People still out here believing the government lol,4,no,,no,
582,"@politicalbloos @Just2BiZI @esme_hornbeam @darren_dazmav @firesign1969 There's plenty of evidence for it I'm afraid. The fact is, legislation was passed to make it illegal to claim a cure for cancer. You need to ask yourself why? Don't think of cancer as a disease but a business opportunity and the victims are customers. This is Big Pharma's view. https://t.co/td5ddDJCe0",4,no,,no,
583,"@AMike4761 She should have thought of this before applying her East German communist autocracy to EU and German policies, irretrievably spoiling both. She has undermined German culture and social health like a cancer for which there is no cure other than chemo.",4,no,,no,
584,"President Trump claims he never pressured House Republicans to pass an immigration overhaul bill, despite tweeting otherwise https://t.co/YaM7IseYzL https://t.co/2nPPcvnpfc And @BarackObama never said you keep your doctor? If @realDonaldTrump found a cure for cancer tomorrow your lead would read ‰Û¡ÌÝÌ Millions died from Cancer unnecessarily because @potus spent decades making money and chasing women. Give it up @FoxNews @seanhannity @GregGutfeldShow https://t.co/ZaBmHWMoHw",4,no,,no,
585,"LISTEN NOW: In this episode of the CURE Talks Cancer #podcast, we talk with lung #cancer survivor Taylor Bell Duck about her cancer journey and how she celebrates the victories of every day life, big and small. https://t.co/RgXjgpICMo",4,no,,no,
586,Start your Friday off right! Help me find a cure for cancer. Please consider donating or sharing the link below. Check out my page to learn why I'm fundraising for VeloSano 5 (2018) and donate today! https://t.co/UXeyfmJw3y,4,no,,no,
588,"Im playing for my grandfather who lost his battle to cancer and my family who have beaten cancer. Being involved w research, I know how difficult funding is so I‰Û¡ÌÝå»m also playing to help the scientists at @RoswellPark continue the amazing work they do to find a cure #MoreThanAGame https://t.co/pIjzg5gbm0 Hey #11DayPowerPlay Community Shift players! We want to hear from YOU! Quote this tweet and tell us why you‰Û¡ÌÝå»re playing this year or who you‰Û¡ÌÝå»re playing for. We want to share everyone‰Û¡ÌÝå»s motivation for #PuttingCancerOnIce ? #MoreThanAGame https://t.co/Du2HEPJX9S",4,no,,no,
589,i just read an article about test tube babies and doctors can now determine the babies eye color before they‰Û¡ÌÝå»re even born but ur telling me we don‰Û¡ÌÝå»t have a cure for cancer. ok,4,no,,no,
590,God's Cure for Cancer - PERFECT DIET https://t.co/xeakEZ1YkA via @YouTube (This Guy is so amazing in his logical approach to sharing the #Bible and the #KNOWLEDGE it contains. Watch this short video and look into his findings),4,no,,no,
591,RT @Swayiin: what if you jerk off and the nut wss the dude that was finna cure cancer i‰Û¡ÌÝå»d bet you‰Û¡ÌÝå»d feel bad,4,no,,no,
592,"me: *cleans room* *finds missing homework, old books, and cure for cancer*",4,no,,no,
593,"Sooooo you mean to tell me y‰Û¡ÌÝå»all can do all this yet y‰Û¡ÌÝå»all still trying to find a cure for hpv, cancer, aids, and so much more? BULLSHITT?? https://t.co/P0hGiMsHvK",4,no,,no,
594,"@disneydoc911 @RealCandaceO @realDonaldTrump Uh never ?Trump could cure Cancer and the left would whine, ‰Û¡ÌÝÌWhat about all the other diseases?Trump is discriminatory!‰Û¡ÌÝå",4,no,,no,
595,I'm a 17yr Stage 4 Carcinoid Cancer Survivor. This disease has No cure and I'm the longest surviving Stage 4 Carcinoid Cancer patient in the world. The survival rate is 5yrs. Plz read my remarkable miracle in my book Living With the Silent Enemy coming soon. Plz support MDACC.,4,no,,no,
596,RT @garyschwitzer: .@crackedscience &amp; @McGillOSS on the trail of THE CURE https://t.co/b8QADCebff,4,no,,no,
597,"My daughter just asked me ‰Û¡ÌÝÌIs there a cure for cancer?‰Û¡ÌÝå I said no. Then she gone say, ‰Û¡ÌÝÌSo that means the cure for cancer could be somewhere in our house right now and we don‰Û¡ÌÝå»t even know it?!‰Û¡ÌÝå https://t.co/CTcQqEU1xb",4,no,,no,
598,"The Sea Dogs and the @ACSNewEngland have teamed up to help fight cancer! Make a pledge towards every base hit that the Portland Sea Dogs make on Sunday, June 24th and help us find a cure - one base hit at a time! Every dollar counts, every hit matters! https://t.co/6w7ydEXeRj",4,no,,no,
599,@HomunculusLoikm I agree with @elonmusk minding his own and forget his idea he is important....perhaps until he could demonstrate he can cure cancer 100% for example????,4,no,,no,
600,"Just to reiterate, suicide, breast feeding are choices an informed adult makes. Taking the skin off another's penis when he has no say is immoral. Even it was the cure for cancer or world peace it is wrong to choose it for another who has no voice. https://t.co/BU5QiPNz3Z",4,no,,no,
601,"Maybe you can sell yourself one of those Biblical cures you peddle to the Trumpkins on the Newsmax email list, but instead of cancer, it could cure being an oily, gauche, Elmer Gantry stereotype who'd con their mom out of her last nickel? https://t.co/0okKZ1OYjL Here you go! You want to defend gangs who rape, murder, and mutilate little children too? Repeat--a criminal gang is NOT a race! Doesn't matter if these goons were lily-white Brits! https://t.co/Bdl6P63pRK https://t.co/mfl79UbfNI",4,no,,no,
603,"RT @imhexalt: Trump could feed every hungry mouth in the world, create total world peace, and cure cancer and people would still find a way‰Û¡ÌÝ_",4,no,,no,
604,RT @SpoodyQue1: But they can‰Û¡ÌÝå»t find a cure for AIDS and cancer.. yeah sure https://t.co/6CzXSGcFyJ,4,no,,no,
605,@WaydeDe @_edwardmondini_ @FranSism1g @rn_gal @cwilliams1113wy @Mamma_Janet @HarrietNix @cy_frost @ginaisawakened @jewel_patriot @DxmJohansen @jdp021189 @3Conservative @BettyBlakley4 @GiboneyDavid @WeidnerRoger @ArtSciSarah I think no matter what you do Wayde she will never concede anything. Sort of like the MSM - Trump could cure cancer and that would not acknowledge it - and/or complain that he is putting doctors out of work. You are wasting your time. Better used elsewhere on here - IMHO.,4,no,,no,
606,I'm a 17yr. Stage 4 Survivor with inoperable Neuroendocrine Carcinoid Cancer. This disease has no cure and is the most misdiagnosed disease in the world. The survival rate is 5yrs. Plz read my remarkable miracle in my book Living With the Silent Enemy coming soon. Endcancer#,4,no,,no,
607,ONCE MORE FOR THOSE AT THE BACK - Immigrants are of value even if they don't cure cancer - Refugees deserve succour even if they have smartphones - People are owed dignity even if they've committed crimes Don't make people have to earn your empathy.,4,no,,no,
608,RT @perraultraymond: And y‰Û¡ÌÝå»all tellin‰Û¡ÌÝå» me we don‰Û¡ÌÝå»t have the cure for cancer?,4,no,,no,
611,"why are the CNN DEMOCRATS talking about migrants when America is full of chronically ill pregnant veterans? ""Yeah about that, Republicans have done fuck all for healthcare and even less for VA."" ""Yeah, well Joe Biden didn't cure cancer like he promised, Dems r no better""",4,no,,no,
612,"@parscale @MyCrashIs @realDonaldTrump As I've said over and over -- Trump could cure cancer and the Left, MSM and some Republicans would complain that he put oncologists and cancer centers out of business.",4,no,,no,
614,Rest In Peace Alex Wilcox. Here‰Û¡ÌÝå»s a link to the Ovarian Cancer Reseaech Fund Alliance. Let‰Û¡ÌÝå»s pray for strength for her family and friends and that we find a cure for this horrible disease. #noonefightsalone https://t.co/DpiLr6AIUx,3,no,,no,
615,"@JenDinnj @jamestaranto ""He is expected to get overwhelming support"" is the most fantastical thing about that tweet. Trump could cure cancer tomorrow and the media would demand an investigation into whether Putin helped him.",3,no,,no,
616,playoverwatch could be tweeting about how they found the cure for cancer and people would tweet back by telling them to nerf hanzo. i'm people,3,no,,no,
617,Please watch and DO NOT FALL for pseudoscience... Thank you McGill U. doing this video... it is very easy for scientifically illiterate people to fall in such traps... https://t.co/LwGICNm14k There are so many videos about how to cure cancer naturally...Ours has a bit of a different spin. @CaulfieldTim @picardonhealth @billbrownstein @DrPaulOffit @TerryPolevoy @EdzardErnst @juliaoftoronto #cancer #cancercure #naturalhealing #bigpharma #health @ScienceBasedMed @scimoms https://t.co/hm5lXgruVy,3,no,,no,
618,"@TheBlackWildcat I think it has to do with tragedy rhetoric and cure culture surrounding disability, and autism especially. Kids who don‰Û¡ÌÝå»t develop ‰Û¡ÌÝÌnormally‰Û¡ÌÝå are treated as if they have a terminal illness. Autism is practically treated like cancer, which anyone would want to prevent. /1",3,no,,no,
619,RT @BlakemanB: Trump could cure cancer and the media would say what about Eczema?,3,no,,no,
620,"@CNN @StCollinson Families separated: Bad. Families united: Bad. Summit with Kim: Bad. No summit with Kim: Bad. Listen, CNN, POTUS #Trump could come up with a cure for cancer and you'd still find something to complain about, just because.",3,no,,no,
621,RT @cmacie: @chuckwoolery Trump could cure cancer and these fools would blame him for not curing it faster. Can't win.,3,no,,no,
623,"Taehyung, you are the state lottery, the cure for cancer, and the three wishes from Aladdin's lamp all rolled into one. #5thFlowerPathWithBTS @BTS_twt https://t.co/bq6W14hdgX",3,no,,no,
624,"Trump could find a cure for cancer and the MSM fools would still find something to criticise him about, that is the sad truth, and why most everyone has had a gut full of the MSM...",3,no,,no,
625,"If you had the cure for cancer and wanted to share it with someone who had cancer and needed it, what would you say to someone who responded, ""Hey, who are you to judge? Take your cure and leave him alone""? You should treat your gift of faith the same as the cure for cancer.",3,no,,no,
626,RT @EddieFramer: @LBC @ShelaghFogarty Trump could cure cancer and some people would still find something to complain about.,3,no,,no,
627,@keithellison Oh and you are a cancer. Yes I said it. A cancer and Trump is the cure you fake official. Love watching all you liberals squirm and cringe.?,3,no,,no,
629,Retweeted BlueCollarBlueShirts (@NYCTheMiC): Trump could cure AIDS and cancer and people would say he is taking jobs away from doctors and scientists. Never has a President been so openly attacked in American... https://t.co/n5QLO6gENo,3,no,,no,
630,RT @JamesCranworth: #Trump could cure cancer and still the libtard media would cane him,3,no,,no,
631,Wth I just found out my childhood best friend literally has a job working on a cancer cure and I‰Û¡ÌÝå»m jus here making stickers and eating too many sunchips,3,no,,no,
632,"@RightWingWatch Awww, it was cute when he was just selling a miracle cure for all venereal diseases. Now he gets political. Jim Bakker is ""the greatest scab and cancer on the face of Christianity in 2,000 years of church history."" That's from Jerry Falwell. Yes, Jerry Falwell.",3,no,,no,
633,@TomiLahren Left playbook - antiTrump at all cost... At this rate he could cure cancer and there would be a probe in how he got it from the FBI,3,no,,no,
635,@realDonaldTrump You could cure cancer and the haters would accuse you of putting doctors out of business. To hell with them. Keep up all you're doing to make the world a better place!,3,no,,no,
636,"This last year has been the hardest of my life - to all the cancer researchers, doctors, nurses and caregivers who are so selflessly dedicated to finding a cure and healing patients, you are my heroes and I am grateful for the hope and strength you continue to give me &amp; my family Thank capitalism &amp; careers that provide a service. Thank technology &amp; consumer products (pharmaceuticals) that extend/save lives &amp; ease pain. And PRAY for those who cant afford quality healthcare &amp; are being ruined financially SOLEY because of obamacare. #MondayMotivation https://t.co/HZdSwiH1Na",3,no,,no,
637,11:11 Excellent grades!!! Happiness for me and my friends Gun control @ArianaGrande to notice me @ShawnMendes to follow me Cure for cancer Bye anxiety Fun summer Lion to get rid of depression Hug Lion Love,3,no,,no,
638,"Annual Beatson International Cancer Conference! Ross Cagan says we've cured cancer in mice - why can't we cure it in patients? His answer - cure it in flies instead... (and with good reason, actually) #TalkToTheNiche @CRUK_BI",3,no,,no,
639,Y'all want the yt man to give u a cure for cancer and other incurable diseases but dr sebi been gave us the cure for this shit.. y'all just opps to your own selves who don't wanna stop eating poison,3,no,,no,
640,Rumor has it @BarackObama has spoken w/less than viable 2020 candidates. Our country has cancer. The cure isn‰Û¡ÌÝå»t- Sanders: more cancer Warren: bandaid Biden: chicken soup Look at the base of our party and find a kick ass cure that resembles our base. *hint* Her initials are HK,3,no,,no,
641,"RT @AdenY98: Pogba could cure cancer, world hunger and establish world peace and he still won't get the recognition and praise he deserved",3,no,,no,
